id,login_name,nick_name,name,phone_num,email,user_level,birthday,gender,create_time,operate_time,start_date,end_date,dt
1,6fawe8,光天,94473fe46b1db82c2753ebe8c27d48e9,6e444d9ff4399cc09d5f250eff426215,8cdecc4fdd5e9e9cd53531c9ff23f504,1,2004-04-10,M,2020-06-10 11:05:16,2020-06-14 15:35:40,2020-06-14,9999-12-31,9999-12-31
2,7c9ydn,爽爽,fe2eb5bb4a9bb13329886c0bd6b3d32f,f8be6edf970959410078d7773706b165,b207738780edb6923c9115aa81b4b5fe,1,1983-08-10,F,2020-06-10 11:05:16,2020-06-14 17:23:00,2020-06-14,9999-12-31,9999-12-31
3,vlftic0m2,阿学,4b119b03f339761c7dcdcf462c2666ae,08a5b917d26135142a46989182a8ec93,9989067832d675d8e2176b8d0604cd7e,1,2000-08-10,,2020-06-10 11:05:16,2020-06-14 15:06:21,2020-06-14,9999-12-31,9999-12-31
4,6aa683us,琴蕊,ee0a7ec872d835b4adc2c829fdff4acb,0a23594e0139d27b8470d1c6d9bf64eb,e9033687e2c4ee5ca0db2c0d1825d04b,3,1980-10-10,F,2020-06-10 11:05:16,2020-06-14 15:29:19,2020-06-14,9999-12-31,9999-12-31
5,6bdoe5lns,阿承,19fbccbdb3f08ef7b826841316061bdc,097ee5f6accd86704279d9c6f1491f28,22b6852809dbbf06ef7e87c9af9d3414,1,1985-03-10,M,2020-06-10 11:05:16,2020-06-14 15:06:21,2020-06-14,9999-12-31,9999-12-31
6,rhmzxmz4k5,瑞凡,ea15872b29345c44f3bf8cfac6b58f27,bf41dc1389fe847339d9052e45771d9f,baaa7c02ca2e05629493f20683c775e3,1,2003-10-10,,2020-06-10 11:05:16,2020-06-14 15:30:50,2020-06-14,9999-12-31,9999-12-31
7,bgs1gpgkopy3,江超,88f8b7b5c6ed0be9b8d381c42b36294a,59500e2e82f194152e8ad1a629f4ed43,6faf42e7a8d7690deab7bd0dd5e4bdac,1,1993-07-10,M,2020-06-10 11:05:16,2020-06-14 15:30:50,2020-06-14,9999-12-31,9999-12-31
8,if1xv3vl9ub1,仪荷,a96948c583b0a36eba0eddda7159aae7,8c02d1c16889798df3f5efbf7e4464b5,04fcaeece4bc3f49069cb52dd33da7f1,1,1977-07-10,F,2020-06-10 11:05:16,2020-06-14 15:30:50,2020-06-14,9999-12-31,9999-12-31
9,dvs2yxgud,阿健,505a7798d2b63ca0422ae71c3ef2aa6a,e9c743e9af8b234d74208c94aad88918,1963c949d7efac23863755cf25811ee2,1,1996-08-10,,2020-06-10 11:05:16,2020-06-14 17:23:00,2020-06-14,9999-12-31,9999-12-31
10,9sfic7tj,月莺,ee36abaec1a59da6f8e397604931416e,730d4a19d8f7790c1c260511d22ae852,9ad255dc4a20dc2e610b067abfe85715,1,1980-09-10,F,2020-06-10 11:05:16,2020-06-14 15:30:50,2020-06-14,9999-12-31,9999-12-31
11,xo3c0t7x9e,致树,34228b7c9b90a8fdd7ce80ea8f502858,5703b174a3fb1f08144c60e2488dfb57,3dcc0a3eb0041159849852329497ed4c,1,2004-10-10,M,2020-06-10 11:05:16,2020-06-14 15:30:50,2020-06-14,9999-12-31,9999-12-31
12,hpklezljn,珊莎,88f3b1d620b77cb8351e371d794c56b1,624ca42c8c933a434ab2ddfd10788a23,ae126ad0a8f7402d418f50e0d4412886,1,2002-09-10,,2020-06-10 11:05:16,2020-06-14 17:23:00,2020-06-14,9999-12-31,9999-12-31
13,w3y0j3,阿中,358f755332356d58a3e34665f9889f61,a5b76e1cc3a2a4443fa7af1a4cd8df95,172f9dbfb9bef31626a27a216054935c,2,1993-12-10,M,2020-06-10 11:05:16,2020-06-14 17:23:00,2020-06-14,9999-12-31,9999-12-31
14,iqszgsskiv,茗羽,8d913a692a7ca5ad0e8c5c3ae53d9c27,42719488c4a42ab1b5fa69b7fdbd465e,9efd5922cc91ce4020b547153c11f7a3,3,1989-06-10,F,2020-06-10 11:05:16,2020-06-14 15:30:50,2020-06-14,9999-12-31,9999-12-31
15,1ph1t31jg02o,言若,6deccb14973926d1fd8fa8729eeaa3a9,38a1e0f03e35fe6037511ff6ecb22aac,622599d073e8c3d5453b0cb34cfb1fda,1,1985-09-10,,2020-06-10 11:05:16,2020-06-14 15:29:19,2020-06-14,9999-12-31,9999-12-31
16,4vmlkpm,香月,23cf2f86b43a14100543d77c1aa076e9,171e8046d43358121cbcb8dd1fefce2c,cc98b7ea34c88177708f1470e2996912,1,1973-11-10,F,2020-06-10 11:05:16,2020-06-14 17:23:00,2020-06-14,9999-12-31,9999-12-31
17,l0mrfmbgqzla,翰朗,d753c2ef779a1fdb7f2724523ccaeb78,e239b9410f1a59d063a9d6ecd25712f3,bbde594ddd5187de62ba082788c39495,1,1993-09-10,M,2020-06-10 11:05:16,2020-06-14 15:30:50,2020-06-14,9999-12-31,9999-12-31
18,h5vvvaa2z,岚艺,bd3d5fc6d84820df8a27a692883d9a90,8001df47560d931f1ba7e060e17b281c,0d3252cdf6788aebd4b854502fce4dae,1,1984-01-10,,2020-06-10 11:05:16,2020-06-11 11:07:27,2020-06-14,9999-12-31,9999-12-31
19,7n0nvzdhyz2,俊峰,ca654a0789727a953c4ab453026b5bea,1531715e1682222cd760d7e41106a1a5,cc96a0841bd5ef36dc58f7033605513c,2,2000-02-10,M,2020-06-10 11:05:16,2020-06-14 15:10:27,2020-06-14,9999-12-31,9999-12-31
20,bxcp9o,萍萍,37684aca49448618789c6472dc9e262e,47a2839ab383254874a6264386dd0f8c,9a5c2c1c654b48d1facbc2e01c8e59fa,1,1981-01-10,F,2020-06-10 11:05:16,2020-06-14 15:10:27,2020-06-14,9999-12-31,9999-12-31
21,0rpn6snmbb9n,阿晨,05fa017fd955b43324de380f0216e550,aea640c210f16dad3de7dc7816d93952,f961b54a36419db8e04910d0850e4519,1,1979-09-10,,2020-06-10 11:05:16,,2020-06-14,9999-12-31,9999-12-31
22,kqf0scdkaefz,蕊薇,4f756ab7451b05090d923ee638a58fb7,0faa4d5948d203c509b16b5f05b729ee,7bdfeb1f1634f19594690e642f354908,1,1989-10-10,F,2020-06-10 11:05:16,2020-06-14 15:06:21,2020-06-14,9999-12-31,9999-12-31
23,letuck,轮翰,ac7fa5cefc9f0193fa99940b93b2b831,c0c39a981c38a309f1df96f082e8d574,13ec1fe84816b9582594c990c409bfc0,1,1986-11-10,M,2020-06-10 11:05:16,,2020-06-14,9999-12-31,9999-12-31
