type,ts,data,old,dt
insert,1592126598,"{""id"":""6876"",""consignee"":""郝豪"",""consignee_tel"":""13442414325"",""total_amount"":60276.35,""order_status"":""1001"",""user_id"":""86"",""payment_way"":null,""delivery_address"":""第1大街第26号楼1单元485门"",""order_comment"":""描述773336"",""out_trade_no"":""153738586963227"",""trade_body"":""索芙特i-Softto 口红不掉色唇膏保湿滋润 璀璨金钻哑光唇膏 Z02少女红 活力青春 璀璨金钻哑光唇膏 等27件商品"",""create_time"":""2020-06-14 17:23:14"",""operate_time"":null,""expire_time"":""2020-06-14 17:38:14"",""process_status"":null,""tracking_no"":null,""parent_order_id"":null,""img_url"":""http://img.gmall.com/979347.jpg"",""province_id"":""1"",""activity_reduce_amount"":0,""coupon_reduce_amount"":100,""original_total_amount"":60364.35,""freight_fee"":null,""freight_fee_reduce"":null,""refundable_time"":null}",,2020-06-14
insert,1592126598,"{""id"":""6877"",""consignee"":""殷琴"",""consignee_tel"":""13784957214"",""total_amount"":57181.35,""order_status"":""1001"",""user_id"":""59"",""payment_way"":null,""delivery_address"":""第20大街第10号楼6单元899门"",""order_comment"":""描述146947"",""out_trade_no"":""379274618987111"",""trade_body"":""索芙特i-Softto 口红不掉色唇膏保湿滋润 璀璨金钻哑光唇膏 Z03女王红 性感冷艳 璀璨金钻哑光唇膏 等12件商品"",""create_time"":""2020-06-14 17:23:14"",""operate_time"":null,""expire_time"":""2020-06-14 17:38:14"",""process_status"":null,""tracking_no"":null,""parent_order_id"":null,""img_url"":""http://img.gmall.com/966567.jpg"",""province_id"":""9"",""activity_reduce_amount"":500,""coupon_reduce_amount"":100,""original_total_amount"":57762.35,""freight_fee"":null,""freight_fee_reduce"":null,""refundable_time"":null}",,2020-06-14
insert,1592126598,"{""id"":""6878"",""consignee"":""宇文柔竹"",""consignee_tel"":""13568770865"",""total_amount"":18161.63,""order_status"":""1001"",""user_id"":""71"",""payment_way"":null,""delivery_address"":""第7大街第37号楼3单元447门"",""order_comment"":""描述319833"",""out_trade_no"":""543184247817452"",""trade_body"":""索芙特i-Softto 口红不掉色唇膏保湿滋润 璀璨金钻哑光唇膏 Y01复古红 百搭气质 璀璨金钻哑光唇膏 等6件商品"",""create_time"":""2020-06-14 17:23:14"",""operate_time"":null,""expire_time"":""2020-06-14 17:38:14"",""process_status"":null,""tracking_no"":null,""parent_order_id"":null,""img_url"":""http://img.gmall.com/419516.jpg"",""province_id"":""14"",""activity_reduce_amount"":1200,""coupon_reduce_amount"":100,""original_total_amount"":19441.63,""freight_fee"":null,""freight_fee_reduce"":null,""refundable_time"":null}",,2020-06-14
insert,1592126598,"{""id"":""6879"",""consignee"":""任政"",""consignee_tel"":""13738219857"",""total_amount"":53394,""order_status"":""1001"",""user_id"":""215"",""payment_way"":null,""delivery_address"":""第5大街第8号楼9单元719门"",""order_comment"":""描述391844"",""out_trade_no"":""712136274598621"",""trade_body"":""Apple iPhone 12 (A2404) 64GB 白色 支持移动联通电信5G 双卡双待手机等8件商品"",""create_time"":""2020-06-14 17:23:14"",""operate_time"":null,""expire_time"":""2020-06-14 17:38:14"",""process_status"":null,""tracking_no"":null,""parent_order_id"":null,""img_url"":""http://img.gmall.com/144386.jpg"",""province_id"":""24"",""activity_reduce_amount"":1200,""coupon_reduce_amount"":0,""original_total_amount"":54580,""freight_fee"":null,""freight_fee_reduce"":null,""refundable_time"":null}",,2020-06-14
insert,1592126598,"{""id"":""6880"",""consignee"":""史仪荷"",""consignee_tel"":""13117477299"",""total_amount"":26686,""order_status"":""1001"",""user_id"":""271"",""payment_way"":null,""delivery_address"":""第19大街第33号楼7单元619门"",""order_comment"":""描述123383"",""out_trade_no"":""652755326143446"",""trade_body"":""Redmi 10X 4G Helio G85游戏芯 4800万超清四摄 5020mAh大电量 小孔全面屏 128GB大存储 8GB+128GB 明月灰 游戏智能手机 小米 红米等9件商品"",""create_time"":""2020-06-14 17:23:14"",""operate_time"":null,""expire_time"":""2020-06-14 17:38:14"",""process_status"":null,""tracking_no"":null,""parent_order_id"":null,""img_url"":""http://img.gmall.com/454249.jpg"",""province_id"":""33"",""activity_reduce_amount"":0,""coupon_reduce_amount"":0,""original_total_amount"":26680,""freight_fee"":null,""freight_fee_reduce"":null,""refundable_time"":null}",,2020-06-14
insert,1592126598,"{""id"":""6881"",""consignee"":""曹桂"",""consignee_tel"":""13079441172"",""total_amount"":11303,""order_status"":""1001"",""user_id"":""388"",""payment_way"":null,""delivery_address"":""第4大街第24号楼7单元589门"",""order_comment"":""描述766924"",""out_trade_no"":""277995319227392"",""trade_body"":""TCL 65Q10 65英寸 QLED原色量子点电视 安桥音响 AI声控智慧屏 超薄全面屏 MEMC防抖 3+32GB 平板电视等24件商品"",""create_time"":""2020-06-14 17:23:14"",""operate_time"":null,""expire_time"":""2020-06-14 17:38:14"",""process_status"":null,""tracking_no"":null,""parent_order_id"":null,""img_url"":""http://img.gmall.com/333879.jpg"",""province_id"":""11"",""activity_reduce_amount"":0,""coupon_reduce_amount"":0,""original_total_amount"":11296,""freight_fee"":null,""freight_fee_reduce"":null,""refundable_time"":null}",,2020-06-14
insert,1592126598,"{""id"":""6882"",""consignee"":""邬邦承"",""consignee_tel"":""13325122002"",""total_amount"":23,""order_status"":""1001"",""user_id"":""180"",""payment_way"":null,""delivery_address"":""第8大街第38号楼9单元923门"",""order_comment"":""描述373353"",""out_trade_no"":""511194425337366"",""trade_body"":""金沙河面条 原味银丝挂面 龙须面 方便速食拉面 清汤面 900g等1件商品"",""create_time"":""2020-06-14 17:23:14"",""operate_time"":null,""expire_time"":""2020-06-14 17:38:14"",""process_status"":null,""tracking_no"":null,""parent_order_id"":null,""img_url"":""http://img.gmall.com/757968.jpg"",""province_id"":""25"",""activity_reduce_amount"":0,""coupon_reduce_amount"":0,""original_total_amount"":11,""freight_fee"":null,""freight_fee_reduce"":null,""refundable_time"":null}",,2020-06-14
insert,1592126598,"{""id"":""6883"",""consignee"":""李康"",""consignee_tel"":""13470214926"",""total_amount"":18409,""order_status"":""1001"",""user_id"":""213"",""payment_way"":null,""delivery_address"":""第3大街第12号楼7单元511门"",""order_comment"":""描述818525"",""out_trade_no"":""695938174228213"",""trade_body"":""TCL 75Q10 75英寸 QLED原色量子点电视 安桥音响 AI声控智慧屏 超薄全面屏 MEMC防抖 3+32GB 平板电视等2件商品"",""create_time"":""2020-06-14 17:23:14"",""operate_time"":null,""expire_time"":""2020-06-14 17:38:14"",""process_status"":null,""tracking_no"":null,""parent_order_id"":null,""img_url"":""http://img.gmall.com/164465.jpg"",""province_id"":""32"",""activity_reduce_amount"":0,""coupon_reduce_amount"":0,""original_total_amount"":18398,""freight_fee"":null,""freight_fee_reduce"":null,""refundable_time"":null}",,2020-06-14
insert,1592126598,"{""id"":""6884"",""consignee"":""时芝"",""consignee_tel"":""13243071060"",""total_amount"":148,""order_status"":""1001"",""user_id"":""371"",""payment_way"":null,""delivery_address"":""第14大街第2号楼5单元321门"",""order_comment"":""描述143866"",""out_trade_no"":""398635557831566"",""trade_body"":""索芙特i-Softto 口红不掉色唇膏保湿滋润 璀璨金钻哑光唇膏 Z03女王红 性感冷艳 璀璨金钻哑光唇膏 等1件商品"",""create_time"":""2020-06-14 17:23:14"",""operate_time"":null,""expire_time"":""2020-06-14 17:38:14"",""process_status"":null,""tracking_no"":null,""parent_order_id"":null,""img_url"":""http://img.gmall.com/338955.jpg"",""province_id"":""4"",""activity_reduce_amount"":0,""coupon_reduce_amount"":0,""original_total_amount"":129,""freight_fee"":null,""freight_fee_reduce"":null,""refundable_time"":null}",,2020-06-14
insert,1592126598,"{""id"":""6885"",""consignee"":""唐荷"",""consignee_tel"":""13340514195"",""total_amount"":44118,""order_status"":""1001"",""user_id"":""410"",""payment_way"":null,""delivery_address"":""第12大街第35号楼9单元861门"",""order_comment"":""描述497333"",""out_trade_no"":""922244847191788"",""trade_body"":""华为 HUAWEI P40 麒麟990 5G SoC芯片 5000万超感知徕卡三摄 30倍数字变焦 6GB+128GB冰霜银全网通5G手机等23件商品"",""create_time"":""2020-06-14 17:23:14"",""operate_time"":null,""expire_time"":""2020-06-14 17:38:14"",""process_status"":null,""tracking_no"":null,""parent_order_id"":null,""img_url"":""http://img.gmall.com/451876.jpg"",""province_id"":""12"",""activity_reduce_amount"":0,""coupon_reduce_amount"":0,""original_total_amount"":44105,""freight_fee"":null,""freight_fee_reduce"":null,""refundable_time"":null}",,2020-06-14
