type,ts,data,old,dt
insert,1592126607,"{""id"":""956"",""user_id"":""773"",""order_id"":""4974"",""sku_id"":""8"",""refund_type"":""1501"",""refund_num"":1,""refund_amount"":8197,""refund_reason_type"":""1301"",""refund_reason_txt"":""退款原因具体：6449793231"",""refund_status"":""0701"",""create_time"":""2020-06-14 17:23:23""}",,2020-06-14
insert,1592126607,"{""id"":""957"",""user_id"":""1153"",""order_id"":""5184"",""sku_id"":""26"",""refund_type"":""1502"",""refund_num"":2,""refund_amount"":258,""refund_reason_type"":""1301"",""refund_reason_txt"":""退款原因具体：3647571838"",""refund_status"":""0701"",""create_time"":""2020-06-14 17:23:23""}",,2020-06-14
insert,1592126607,"{""id"":""958"",""user_id"":""150"",""order_id"":""5230"",""sku_id"":""34"",""refund_type"":""1502"",""refund_num"":3,""refund_amount"":11781,""refund_reason_type"":""1305"",""refund_reason_txt"":""退款原因具体：9732574338"",""refund_status"":""0701"",""create_time"":""2020-06-14 17:23:23""}",,2020-06-14
insert,1592126607,"{""id"":""959"",""user_id"":""768"",""order_id"":""5268"",""sku_id"":""3"",""refund_type"":""1501"",""refund_num"":2,""refund_amount"":11998,""refund_reason_type"":""1301"",""refund_reason_txt"":""退款原因具体：5915584741"",""refund_status"":""0701"",""create_time"":""2020-06-14 17:23:23""}",,2020-06-14
insert,1592126607,"{""id"":""960"",""user_id"":""1096"",""order_id"":""5319"",""sku_id"":""31"",""refund_type"":""1502"",""refund_num"":3,""refund_amount"":207,""refund_reason_type"":""1303"",""refund_reason_txt"":""退款原因具体：4792121807"",""refund_status"":""0701"",""create_time"":""2020-06-14 17:23:23""}",,2020-06-14
insert,1592126607,"{""id"":""961"",""user_id"":""59"",""order_id"":""5367"",""sku_id"":""28"",""refund_type"":""1502"",""refund_num"":1,""refund_amount"":129,""refund_reason_type"":""1302"",""refund_reason_txt"":""退款原因具体：9936556308"",""refund_status"":""0701"",""create_time"":""2020-06-14 17:23:23""}",,2020-06-14
insert,1592126607,"{""id"":""962"",""user_id"":""597"",""order_id"":""5377"",""sku_id"":""1"",""refund_type"":""1501"",""refund_num"":2,""refund_amount"":11998,""refund_reason_type"":""1303"",""refund_reason_txt"":""退款原因具体：2055857030"",""refund_status"":""0701"",""create_time"":""2020-06-14 17:23:23""}",,2020-06-14
insert,1592126607,"{""id"":""963"",""user_id"":""459"",""order_id"":""5386"",""sku_id"":""16"",""refund_type"":""1502"",""refund_num"":3,""refund_amount"":13464,""refund_reason_type"":""1303"",""refund_reason_txt"":""退款原因具体：1316347650"",""refund_status"":""0701"",""create_time"":""2020-06-14 17:23:23""}",,2020-06-14
insert,1592126607,"{""id"":""964"",""user_id"":""437"",""order_id"":""5407"",""sku_id"":""25"",""refund_type"":""1501"",""refund_num"":3,""refund_amount"":69,""refund_reason_type"":""1304"",""refund_reason_txt"":""退款原因具体：0931555016"",""refund_status"":""0701"",""create_time"":""2020-06-14 17:23:23""}",,2020-06-14
insert,1592126607,"{""id"":""965"",""user_id"":""583"",""order_id"":""5413"",""sku_id"":""16"",""refund_type"":""1502"",""refund_num"":1,""refund_amount"":4488,""refund_reason_type"":""1303"",""refund_reason_txt"":""退款原因具体：0021271486"",""refund_status"":""0701"",""create_time"":""2020-06-14 17:23:23""}",,2020-06-14
insert,1592126607,"{""id"":""966"",""user_id"":""1468"",""order_id"":""5514"",""sku_id"":""21"",""refund_type"":""1502"",""refund_num"":1,""refund_amount"":3299,""refund_reason_type"":""1303"",""refund_reason_txt"":""退款原因具体：2091998539"",""refund_status"":""0701"",""create_time"":""2020-06-14 17:23:23""}",,2020-06-14
insert,1592126607,"{""id"":""967"",""user_id"":""1736"",""order_id"":""5520"",""sku_id"":""30"",""refund_type"":""1501"",""refund_num"":2,""refund_amount"":138,""refund_reason_type"":""1303"",""refund_reason_txt"":""退款原因具体：2005941811"",""refund_status"":""0701"",""create_time"":""2020-06-14 17:23:23""}",,2020-06-14
insert,1592126607,"{""id"":""968"",""user_id"":""792"",""order_id"":""5551"",""sku_id"":""6"",""refund_type"":""1501"",""refund_num"":3,""refund_amount"":3897,""refund_reason_type"":""1301"",""refund_reason_txt"":""退款原因具体：2999499017"",""refund_status"":""0701"",""create_time"":""2020-06-14 17:23:23""}",,2020-06-14
insert,1592126607,"{""id"":""969"",""user_id"":""538"",""order_id"":""5561"",""sku_id"":""1"",""refund_type"":""1501"",""refund_num"":1,""refund_amount"":5999,""refund_reason_type"":""1301"",""refund_reason_txt"":""退款原因具体：0411133682"",""refund_status"":""0701"",""create_time"":""2020-06-14 17:23:23""}",,2020-06-14
insert,1592126607,"{""id"":""970"",""user_id"":""662"",""order_id"":""5583"",""sku_id"":""7"",""refund_type"":""1502"",""refund_num"":2,""refund_amount"":2598,""refund_reason_type"":""1304"",""refund_reason_txt"":""退款原因具体：1418969483"",""refund_status"":""0701"",""create_time"":""2020-06-14 17:23:23""}",,2020-06-14
insert,1592126607,"{""id"":""971"",""user_id"":""794"",""order_id"":""5609"",""sku_id"":""5"",""refund_type"":""1501"",""refund_num"":3,""refund_amount"":2997,""refund_reason_type"":""1302"",""refund_reason_txt"":""退款原因具体：2898471654"",""refund_status"":""0701"",""create_time"":""2020-06-14 17:23:23""}",,2020-06-14
